Cayuga,Surface Segmentation,Underlying Form,Labeled Segmentation,Gloss,notes
dǫdahadwę:nęht,d-ǫ-d-a-h-ad-wę:n-ę-ht-.,de-aˀ-d-ha-ad-węn-ę-hd-0,dual-fact-cis-fact-3msa-sr-voice-fall-caus-punc,he caused the word to fall there again,
dwa:dǫh,dwa-:dǫ-h,dwa-adǫ-h,1pia-say-stat,we say,
dwada:dǫ:nih,d-w-ada:d-ǫ:ni-h,d-wa-adad-ǫni-h,cis-3nsa-refl-make-stat,it makes itself,
dwa̲hawanyǫˀ,dwa̲-haw-a-nyǫ-ˀ,dwa-haw-a-nyǫ-ˀ,1pia-hold-j-dist-stat,we hold things,
dwę̲hnihsrade:nyǫk,d-w-ę̲hnihsr-a-de:-nyǫ-k,d-w-ęhnihsr-a-de-nyǫ-k,cis-3nso-day-j-exist-dist-cont,in those days,
dwęnǫhdǫnyǫh,dw-ęnǫhdǫ-nyǫ-h,dwa-ęnǫhdǫ-nyǫ-h,1pia-know-dist-stat,we think,
ędwadadǫni̲hak,ę-d-w-adad-ǫni̲-h-ak,ę-d-wa-adad-ǫni-h-ak,fut-cis-3nsa-refl-make-stat-cont,it will make itself,
ędwadewayę:nǫ:niˀ,ę-dw-ade-wayę:n-ǫ:ni-ˀ,ę-dwa-ade-wayęn-ǫni-ˀ,fut-1pia-sr-custom-make-punc,we will do carefully,
ędwatga̲htoˀ,ę-dw-atga̲ht-oˀ,ę-dwa-atgahtw-ˀ,fut-1pia-look.at-punc,we will see,
ędwe:hek,ę-dw-e:h-ek,ę-dwa-e:h-ek,fut-1pia-think-stat.cont,we will think,
ędyona̲hdogę̲hędyeˀ,ę-d-yon-a̲hdog-ę̲h-ę-dye-ˀ,ę-d-yon-ahdog-ęh-a-dye-ˀ,fut-cis-3npo-grow-stat-j-prog-stat,they will be growing there,
ęga:yę:daˀk,ę-ga:-yę:d-aˀk,ę-ga-yęd-a-ˀk,fut-2nsa-lie-stat.cont,it will be here,
ęgaihwayędahgǫ̲hak,ę-ga-ihw-a-yęd-a-hg-ǫ̲h-ak,ę-ga-rihw-a-yęd-a-hgw-ǫh-ak,fut-3nsa-matter-j-lie-j-inst-stat-cont,it will be a responsibility,
ęji:swa:yǫˀ,ę-ji:-swa:-yǫ-ˀ,ę-ji-swa-yǫ-ˀ,fut-rep-2p-arrive-punc,you all will arrive again,
ęjiswadrohe:k,ę-ji-sw-ad-rohe:k-.,ę-ji-swa-ad-rohek-.,fut-rep-2p-sr-gather-punc,you all will gather again,
ęjiswadrohe:k,ę-ji-sw-ad-rohe:k-.,ę-ji-swa-ad-rohek-.,fut-rep-2p-sr-gather.together-punc,you all will gather together again,
enagrenyǫˀ,e-nagre-nyǫ-ˀ,e-nagre-nyǫ-ˀ,3fsa-reside-dist-stat,people live here and there,
ęswaęnaędaˀk,ę-swa-ęn-a-ęd-a-ˀk-.,ę-swa-ręn-a-yęd-a-ˀk-.,fut-2p-song-j-have-j-caus-punc,you all will get songs,
ęwagadęihǫ:dak,ę-wag-adę-ih-ǫ:d-ak,ę-wag-adę-rihw-ǫd-ak,fut-1so-sr-matter-be.attached-stat-cont,I will be assisted,
ęwe:hek,ę-w-e:h-ek,ę-w-e:h-ek,fut-3nsa-think-stat.cont,it will be thought,
eyaˀda̲̲ˀkda:dyeˀ,e-yaˀd-a̲̲-ˀkd-a:-dye-ˀ,e-yaˀd-aˀkd-a-dye-ˀ,3fsa-body-j-be.next.to-j-prog-stat,she is next to it,
ęyeyastak,ę-ye-yast-ak,ę-ye-yasd-ha-k,fut-3fsa-call-hab.cont,they will call it,
ęyǫgwawę:ni:saht,ę-yǫgwa-wę:n-i:saht-.,ę-yǫgwa-węn-isa-ht-0,fut-1po-voice-touch.glancingly-punc,we will briefly mention,
ęyǫnǫhdǫnyǫ̲hak,ę-yǫ-nǫhdǫ-nyǫ̲-h-ak,ę-ye-ęnǫhdǫ-nyǫ-h-ak,fut-3fsa-know-dist-stat-cont,they will think,
ęyǫtshadęht,ę-yǫ-tshad-ę-ht-.,ę-ye-ad-tshad-ę-hd-0,fut-3fsa-sr-moisture-fall-caus-punc,she will drop moisture,
ga:yęˀ,ga:-yęˀ-.,ga-yęd-ˀ,3nsa-lie-stat,it lies (on the ground),
gaihwayęda̲hgǫh,ga-ihw-a-yęd-a̲-hg-ǫh,ga-rihw-a-yęd-a-hgw-ǫh,3nsa-matter-j-lie-j-inst-stat,they have responsibilities,
gaihwayęda̲hgwahnǫˀ,ga-ihw-a-yęd-a̲-hgw-a-hnǫ-ˀ,ga-rihw-a-yęd-a-hgw-a-hnǫ-ˀ,3nsa-matter-j-lie-j-inst-j-dist-stat,their responsibilities,
gaihwi:yo:h,ga-ihw-i:yo-:h,ga-rihw-iyo-:h,3nsa-matter-be.good-stat,the good message,
gaˀnigǫhaˀ,ga-ˀnigǫh-aˀ,ga-ˀnigǫhr-aˀ,3nsa-mind-nsf,the mind,
gęnadrohe:ktaˀ,gęn-ad-rohe:k-t-aˀ,gęn-adrohek-t-haˀ,3npa-sr-gather.together-?-hab,they gather together (regularly),
goihwayi:hsdǫ̲hǫdyeˀs,go-ihw-a-yi:-hsd-ǫ̲h-ǫ-dye-ˀs,go-rihw-a-yeri-hsd-ǫh-a-dye-ˀs,3fso-matter-j-be.right-caus-stat-j-prog-hab,she is doing her duty,
ha:ge:gye:ˀ,h-a:-ge:-gye-:ˀ,h-a:-ge-gye-:ˀ,trans-opt-1sa-fly-punc,I should fly there,
ha:węh,ha:w-ę-h,haw-e-ęh,3mso-speak-stat,he said,
hadiyaˀdǫdyeˀs,hadi-yaˀd-ǫdyeˀ-s,hadi-yaˀd-ǫdyeˀ-s,3mpa-body-fly-hab,they are flying,
hadiyędi:hsgęhęˀ,hadi-yędi:-hs-gęhęˀ,hadi-yęderi-hs-gęhę-ˀ,3mpa-know-hab-past,they used to know,
hadiyǫhyaˀge̲hǫ:nǫˀ,hadiy-ǫhy-aˀ-ge̲-hǫ:nǫ-ˀ,hadi-rǫhy-aˀ-geh-hrǫnǫ-ˀ,3mpa-sky-nsf-ex.loc-pop-stat,they are sky people,
haeswagye:ˀ,h-ae-swa-gye-:ˀ,h-a:-swa-gye-:ˀ,trans-opt-2p-fly-punc,you all should fly over there,
hahnyaˀsaˀgeh,ha-hnyaˀs-aˀ-geh,ha-hnyaˀs-aˀ-geh,3msa-neck-nsa-ex.loc,on his neck,
haǫhwaˀgeh,ha-ǫhw-aˀ-geh,ho-ǫhw-aˀ-geh,3mso-self-nsf-ex.loc,about him,
hasdoˀdragǫh,ha-sdoˀdr-a-gǫh,ha-sdoˀdr-a-gǫh,3msa-feather-j-int.loc,inside his feathers,
hawę:naˀ,ha-wę:n-aˀ,ha-węn-aˀ,3msa-voice-nsf,his word,
hayaˀdaˀ,ha-yaˀd-aˀ,ha-yaˀd-aˀ,3msa-body-nsf,his body,
haˀdeyeyęnawaˀkǫˀ,h-aˀ-de-ye-yęnawaˀk-ǫˀ,he-aˀ-de-ye-yęnawaˀk-ǫˀ,tran-fact-dual-3fsa-hold.onto-punc,they are holding onto (working together),
hędyeˀsgęhęˀ,h-ę-d-ye-ˀs-gęhęˀ,ha-iˀdye-ˀs-gęhęˀ,trans-fut-cis-3fsa-reside-hab-past,he used to live,
hehodahsehdǫh,he-ho-dahsehd-ǫh,he-ho-adahsehd-ǫh,trans-3mso-hide-stat,he is hiding over there,
heshoˀnigǫhi:yo:h,he-s-ho-ˀnigǫh-i:yo-:h,he-s-ho-ˀnigǫhr-iyo-:h,trans-rep-3mso-mind-be.good-stat,his mind is good again,
hęswa:gye:ˀ,h-ę-swa-gye-:ˀ,h-ę-swa-gye-:ˀ,trans-fut-2p-fly-punc,you all will fly over there,
hęswa:gye:ˀ,h-ę-swa:-gye-:ˀ,h-ę-swa-gye-:ˀ,trans-fut-2p-fly-punc,you all will fly over there,
hęswagenǫhǫ:k,h-ę-s-wag-en-ǫh-ǫ:k,he-ę-s-wag-en-ǫh-ak,tran-fut-rep-1so-go.directly-stat-cont,I will go back there,
hęswe:ˀ,h-ę-sw-e-:ˀ,h-ę-sw-e-:ˀ,trans-fut-2p-go-punc,you all will go over there,
hętsgo:t,hę-tsgo:t-.,ha-itsgod-.,3msa-sit-stat,he is sitting,
hętsgwahe:ˀ,hę-tsgw-a-he-:ˀ,ha-itsgw-a-he-:ˀ,3msa-haunches-j-be.on.top-stat,he sat,
hęyawenǫhǫdyeˀ,h-ę-yaw-en-ǫh-ǫ-dye-ˀ,he-ę-yo-en-ǫh-a-dye-ˀ,trans-fut-3nso-go.directly-stat-j-prog-stat,it will be going there,
hęyǫgwadoˀkdani:h,h-ę-yǫgw-adoˀkd-ani-:h-.,he-ę-yǫgwa-adoˀkd-ani-:h,trans-fut-1po-end-dat-caus-punc,it will be extended for us,
hęyǫkihahadyeˀ,h-ę-yǫki-ha-h-a-dye-ˀ,he-ę-yǫki-ha-h-a-dye-ˀ,tran-fut-3p>1p-carry-j-prog-stat,they will be taking us,
hodi:hwayi:hsdǫh,hodi-:hw-a-yi:-hsd-ǫh,hodi-rihw-a-yeri-hsd-ǫh,3mpo-matter-j-be.right-caus-stat,they are doing their duty,
hodǫnhahe:ˀ,ho-d-ǫnh-a-he-:ˀ,ho-ad-ǫnh-a-he-:ˀ,3mso-sr-life-j-be.on.top-stat,he is happy,
hohę:dǫh,ho-hę:d-ǫh,ho-hęd-ǫh,3mso-lead-stat,he led,
hohta:hgǫh,ho-hta-:-hg-ǫh,ho-htar-a-hgw-ǫh,3mso-speak-j-inst-stat,he discussed,
hohta:hgǫhneˀ,ho-hta-:-hg-ǫh-neˀ,ho-htar-a-hgw-ǫh-ne-ˀ,3mso-speak-j-inst-stat-past,he had spoken,
honihnadogęh,ho-nihnadog-ęh,hǫ-ęnihnadog-ęh,3mso-perceive-stat,he perceived,
hǫwadihowihadyeˀ,hǫwadi-howi-h-a-dye-ˀ,hǫwadi-hrori-h-a-dye-ˀ,3ms>3mp-speak-stat-j-prog-stat,he was speaking to them,
hǫwaya̲ˀda:gwęh,hǫwa-ya̲ˀd-a:-gw-ęh,hǫwa-yaˀd-a-gw-ęh,3ms>3ms-body-j-pick-stat,he picked him,
howayęnędaˀǫh,ho-wayęn-ędaˀ-ǫh,ho-wayęn-ędaˀ-ǫh,3mso-custom-finish-stat,he created it,
hoyętwaˀǫh,ho-yęt-w-a-ˀ-ǫh,ho-yętw-aˀǫh,3mso-lie-cause-j-inch-stat,he planted,
na̲ˀwęhni̲hsragenheˀ,n-a̲ˀ-w-ęhni̲hsr-a-ge-nhe-ˀ,ni-aˀ-w-ęhnihsr-a-ge-nhe-ˀ,part-fact-3nsa-day-j-be.so.many-inch-stat,how many days it became,
nęjiswaya:ˀt,n-ę-ji-swa-ya:ˀt-.,ni-ę-ji-swa-yeraˀd-.,part-fut-rep-2p-head.in.direction-punc,how you all will head again,
nęswa:ye:ˀ,n-ę-swa:-ye:-ˀ,ni-ę-swa-yer-ˀ,part-fut-2p-do-punc,how you all will behave,
nęswa:ye:ˀ,n-ę-swa:-ye:-ˀ,ni-ę-swa-yer-ˀ,part-fut-2p-do-punc,how you all will do,
nęswaya:ˀt,n-ę-swa-ya:-ˀt-.,ni-ę-swa-yer-a-ˀt-.,part-fut-2p-do-caus-punc,you all will head,
nęswaya:ˀt,n-ę-swa-ya:ˀt-.,ni-ę-swa-yeraˀd-.,part-fut-2p-head.in.direction-punc,how you all will be headed,
nęsyagoyę:hęk,n-ę-s-yago-yę-:h-ęk,ni-ę-s-yago-yer-ęh-ak,part-fut-rep-3fso-do-stat-cont,how they will do again,
nętga:dek,n-ę-t-ga:-de-k,ni-ę-d-ga-de-k,part-fut-cis-3nsa-exist-cont,it will be how far,
nęyohdǫ̲hak,n-ę-yo-hd-ǫ̲h-ak,ni-ę-yo-hd-ǫh-ak,part-fut-3nso-be.so-stat-cont,how it will be,
ni̲hodiya:ˀdǫh,ni̲-hodi-ya:ˀd-ǫh,ni-hodi-yeraˀd-ǫh,part-3mpo-head-stat,how they head,
nitodiyę:h,ni-t-odi-y-ę:h,ni-d-hodi-yer-ęh,part-cis-3mpo-do-stat,how they did it,
nitoˀnigǫhoˀdęh,ni-t-o-ˀnigǫh-oˀdę-h,ni-d-ho-ˀnigǫhr-oˀdę-h,part-cis-3mso-mind-be.type-stat,how his mind is,
niwahsǫ:dis,ni-w-ahsǫ:d-is-.,ni-w-ahsǫd-is-0,part-3nsa-night-be.long-stat,how long is the night,
niyo:ˀ,ni-yo:-ˀ,ni-yo-w-eˀ,part-3nso-stat,how far it goes,
niyodoˀkda:dyeˀ,ni-yo-d-oˀkd-a:-dye-ˀ,ni-yo-adoˀkd-a-dye-ˀ,part-3nso-sr-reach.end-j-prog-stat,it is extended,
niyǫgwanǫˀa:gę̲hyat,ni-yǫgwa-nǫˀa-:-gę̲hyat-.,ni-yǫgwa-nǫˀar-a-gęhyat-0,part-1po-head-be.above-stat,how it is over our heads,
niyǫgweˀda:ge:h,ni-y-ǫgweˀd-a:-ge-:h,ni-y-ǫgweˀd-a-ge-:h,part-3nsa-human-j-be.that.many-stat,there are that many people,
niyonatgaˀdeˀ,ni-yon-atgaˀde-ˀ,ni-yon-atgaˀde-ˀ,part-3mpo-be.many-stat,how many they are,
odaˀaǫ:h,o-d-aˀa-ǫ-:h,o-ad-aˀar-or-ǫh,3nso-sr-veil-cover-stat,it is covered,
odi:hwai:hsdǫhǫdyeˀs,odi-:hw-a-i:-hsd-ǫh-ǫ-dye-ˀs,odi-rihw-a-yeri-hsd-ǫh-a-dye-ˀs,3npo-matter-j-be.right-caus-j-prog-hab,they are carrying out their responsibility,
ǫgwa:tǫ:deˀ,ǫgw-a:tǫ:de-ˀ,ǫgwa-atǫde-ˀ,1po-hear-stat,we hear it,
ǫgwadri̲hwagwaihsaˀse:h,ǫgw-ad-ri̲hw-a-gwaihs-a-ˀs-e:h,ǫgwa-ad-rihw-a-gwar-ihs-a-ˀse-:h,1po-sr-matter-j-straighten-j-dat-stat,it has been straightened out for us,
ǫgwaˀnigǫhaˀ,ǫgwa-ˀnigǫh-aˀ,ǫgwa-ˀnigǫhr-aˀ,́́́́1po-mind-nsf,our minds,
ohę:dǫ:h,o-hę:d-ǫ:h,o-hęd-ǫ:h,3nso-be.in.front-stat,it is ahead,
oihayi:ˀǫhǫdyeˀs,o-ih-a-yi:-ˀ-ǫh-ǫ-dye-ˀs,o-rihw-a-yeri-ˀ-ǫh-a-dye-ˀs,3nso-matter-j-be.right-inch-stat-j-prog-hab,it is coming to pass,
oihwagwe:gǫh,o-ihw-a-gwe:g-ǫh,o-rihw-a-gweg-ǫh,3nso-matter-j-be.all-stat,the whole matter,
ojihsǫˀda:ˀ,o-jihsǫˀd-a:ˀ,o-jihsǫˀd-aˀ,3nso-star-nsf,stars,
ojihsǫ̲ˀdahsi̲ha:ˀ,o-jihsǫ̲ˀd-a-hsi̲ha:-ˀ,o-jihsǫˀd-a-hsiha-:ˀ,3nso-star-j-be.in.array-stat,the stars are arrayed,
otga:ˀ,otga:ˀ,o-tgar-aˀ,3nso-sound-nsf,noise,
oˀnigǫ̲hiyo̲hsde:ˀ,o-ˀnigǫ̲h-iyo̲-hsd-e:ˀ,o-ˀnigǫhr-iyo-hsd-e:ˀ,3nso-mind-be.good-caus-stat?,it is satisfying,
sagęnadrohe:k,s-a-gęn-ad-rohe:k-.,s-aˀ-gęn-adrohek-.,rep-fact-3npa-sr-gather.together-punc,they gathered together again,
sao:hęˀ,s-a-.-o:hę-ˀ,s-aˀ-y-orhę-ˀ,rep-fact-3nsa-become.day-punc,it has become day again,
sganyadaiyoˀ,s-ga-nyada-iyo-ˀ,s-ga-nyadar-iyo-ˀ,rep-3nsa-lake-be.good-stat,Handsome Lake,
shagohǫganyaˀgeh,shago-hǫganyaˀg-eh,shago-hǫgar-yaˀg-eh,3ms>3p-appoint-stat,he appointed her,
shagoihǫ:t,shago-ih-ǫ:t-.,shago-rihw-ǫt-0,3ms>3p-matter-be.attached-stat,he appointed,
shagoihwagęihsdani:h,shago-ihw-a-gęi-hsd-a-ni-:h,shago-rihw-a-gęri-hsd-ani-:h,3ms>3p-matter-j-move-caus-j-dat-stat,he gave them duties,
shedwagowa:nęh,shedwa-gowa:nę-h,shedwa-gowanę-h,1pi>3ms-be.big-stat,he is great to us,
ta:yǫnǫhdǫnyǫˀ,t-a:-yǫ-nǫhdǫ-nyǫ-ˀ,ti-a:-ye-ęnǫhdǫ-nyǫ-ˀ,cont-opt-3fsa-think-dist-stat,they should not think it,
taˀhatgwe:niˀ,t-aˀ-h-at-gwe:ni-ˀ,ti-aˀ-ha-at-gweni-ˀ,cont-fact-3msa-sr-be.possible-punc,he was able,
tgaęni:yo:h,t-ga-ęn-i:yo-:h,d-ga-ręn-iyo-:h,cis-3nsa-song-be.good-stat,my song is best,
todaˀǫh,t-o-daˀ-ǫh,d-ho-idaˀ-ǫh,cis-3mso-sleep-stat,he is sleeping there,
todidagwaihsǫh,t-odi-d-a-gwaihs-ǫh,d-hodi-dagwarihs-ǫh,cis-3mpo-?-j-straighten-stat,they have straightened it,
todidaˀǫh,t-od-idaˀ-ǫh,d-hodi-idaˀ-ǫh,cis-3mpo-sleep-stat,they are sleeping there,
tǫhwętsa:deˀ,t-ǫhwęts-a:-de-ˀ,d-ho-ǫhwęts-a-de-ˀ,cis.3msa-earth-j-exist-stat,his world there,
tshahatga̲htoˀ,tsh-a-h-atga̲ht-oˀ,tshi-aˀ-ha-atgahtw-ˀ,coin-fact-3msa-see-punc,when he saw,
tshaˀhatga̲htoˀ,tsh-aˀ-h-atga̲ht-oˀ,tshi-aˀ-ha-atgahtw-ˀ,coin-fact-3msa-look.at-punc,when he saw it,
tshidyǫgweˀda:ˀshǫˀ,tshi-d-y-ǫgweˀd-a:ˀ-shǫˀ,tshi-d-y-ǫgwęˀd-aˀ-shǫˀ,coin-cis-3nso-human-nsf-dist,each person,
dakrǫhwaˀs,dak-rǫhw-a-ˀs-.,dak-hrǫhw-a-ˀs-.,2s>1s-wait-j-dat-imp,wait for me,
a̲ˀhadatsęhs,a̲ˀ-h-adat-sę-hs-.,aˀ-ha-adad-hsęhd-.,fact-3msa-refl-tire-dat-punc,he exhausted himself,
deshonatgahade:nyǫ:h,de-s-hon-at-gahade:ny-ǫ:h,de-s-hon-ad-gahadeni-ǫh,dual-rep-3mpo-sr-turn-stat,he turned back,
o̲hdaˀgeh,o̲-hd-aˀ-geh,o-hd-aˀ-geh,3nso-below-nsf-ex.loc,at the bottom,
heshodigye:nǫ:h,he-s-hodi-gye:-n-ǫ:h,he-s-hodi-gyen-ǫh,trans-rep-3mpo-fly-dir-stat,they flew there,
na̲ˀgę:ˀ,n-a̲ˀ-g-ę:-ˀ,ni-aˀ-ga-i:-ˀ,part-fact-3nsa-total-punc,it is so much,
haˀwadęhnihsri:neˀ,h-aˀ-w-ad-ęhnihsr-i:ne-ˀ,he-aˀ-w-ad-ęhnihsr-ine-ˀ,trans-fact-3nsa-sr-day-proceed-punc,they day proceeded,
odǫgo̲hdǫh,o-d-ǫgo̲hd-ǫh,o-ad-ǫgohd-ǫh,3nso-sr-put.through.opening-stat,it has surpassed,
gaǫhya̲hęh,ga-ǫhy-a̲-h-ęh,ga-rǫhy-a-h-ęh,3nsa-sky-j-be.in.the.middle-stat,midway in the sky,
a̲ˀhęni̲hna:do:k,a̲ˀ-h-ęni̲hna:do:k-.,aˀ-ha-ęnihnadok-.,fact-3msa-perceive-punc,he perceived,
nishęnǫ:h,ni-s-hęn-ǫ-:h,ni-s-hęn-ǫ-h,part-rep-3mpa-be.an.amount-stat,they are that many,
shadi:gyeˀ,s-hadi:-gye-ˀ,s-hadi-gye-ˀ,rep-3mpa-fly-stat,they are flying,
haˀdwatsotoˀ,h-aˀ-d-w-at-soto-ˀ,he-aˀ-de-w-at-sotw-ˀ,trans-fact-cis-3nsa-sr-set-punc,the sun set,
sa̲hęni̲hna:do:k,s-a̲-h-ęni̲hna:do:k-.,s-aˀ-h-ęnihnadok-.,rep-fact-3msa-perceive-punc,he perceived it again,
shaǫhę:ˀęh,s-ha-ǫhę:ˀ-ęh,s-ha-ǫhęˀ-ęh,rep-3mso-be.alone-stat,he is again alone,
shagyeˀ,s-ha-gye-ˀ,s-ha-gye-ˀ,rep-3msa-fly-stat,he is still flying,
hadatsęhse:h,h-adat-sę-hse-:h,ha-adad-hsę-hse-:h,3msa-refl-tire-dat-stat,he is exhausting himself,
dęshatga̲ha:de:niˀ,d-ę-s-h-at-ga̲ha:de:ni-ˀ,de-ę-s-ha-at-gahadeni-ˀ,dual-fut-rep-3msa-sr-turn-punc,he will turn around again,
nęsha:ya:ˀt,n-ę-s-ha:-ya:ˀt-.,ni-ę-s-ha-yeraˀd-.,part-fut-rep-3msa-head-punc,how he will be directed again,
detoyagęˀǫh,de-t-o-yagęˀ-ǫh,de-d-ho-yagęˀ-ǫh,dual-cis-3mso-come.out-stat,he turned around,
